"Search query: (""haemophilia B""[Title/Abstract] OR ""hemophilia B""[Title/Abstract] OR ""haemophilia A""[Title/Abstract] OR ""hemophilia A""[Title/Abstract] OR ""FVIII""[Title/Abstract] OR ""factor VIII""[Title/Abstract] OR ""factor IX""[Title/Abstract] OR ""factor VIIIa""[Title/Abstract] OR ""factor IXa""[Title/Abstract]) NOT (""von willebrand disease"")"
Year,Count
2021,914
2020,829
2019,715
2018,692
2017,650
2016,697
2015,726
2014,752
2013,707
2012,695
2011,655
2010,597
2009,578
2008,564
2007,521
2006,526
2005,447
2004,489
2003,526
2002,528
2001,466
2000,521
1999,482
1998,473
1997,438
1996,453
1995,484
1994,423
1993,406
1992,399
1991,375
1990,422
1989,381
1988,378
1987,362
1986,383
1985,408
1984,338
1983,304
1982,224
1981,191
1980,171
1979,157
1978,111
1977,136
1976,144
1975,110
1974,12
1973,12
1972,10
1971,4
1970,3
1969,10
1968,4
1967,5
1966,1
1965,7
1964,2
1963,3
1962,2
1960,1
