author,publications
Lam C,2
Krasnewich DM,1
Konkle BA,36
Huston H,3
Nakaya Fletcher S,3
Gao X,6
Qiu X,15
Lu D,16
Xue J,18
Lu H,9
Chen L,27
Wang H,54
Wu Z,5
Wu X,23
Wang X,71
Yang X,30
Wang F,4
Wang Y,30
Ye C,1
Shi D,2
Lai L,2
Wang J,41
Zhou H,2
Wang Q,23
Zhang K,9
Jiang P,4
Huang W,9
Xing Y,2
De Chiara A,2
Apice G,1
Mori S,4
Silvestro G,1
Losito SN,1
Botti G,1
Ninfo V,1
Rossi G,10
Sola SC,1
Borello B,1
Castagnaro M,1
Tarján V,1
Ujhelyi E,1
Szabó J,1
Kellner R,1
Krall G,1
Gyuris A,1
Mihály I,1
Füst G,1
Promrat K,1
Wu GY,2
Wu CH,1
Dunn CJ,1
Spencer CM,1
Dianzani F,1
Antonelli G,2
Dai A,1
Wasay M,1
Dubey N,1
Giglio P,1
Bakshi R,1
Tomita M,5
Matsuzaki Y,5
Edagawa M,4
Shimizu T,10
Hara M,4
Onitsuka T,5
Gurbuz Y,1
Muezzinoglu B,1
Apaydin R,1
Yumbul AZ,1
Majumdar SK,1
Lozano M,3
Escolar G,9
Bellucci S,3
Monteagudo J,5
Pico M,2
Ordinas A,8
Caen JP,9
Akça S,1
Süleymanlar I,1
Dinçer D,1
Demirbaş A,1
Gelen T,2
Gürkan A,1
Elpek O,1
Ozkaynak C,1
Işitan F,1
Federici AB,19
Mannucci PM,201
Hedner U,66
Erhardtsen E,8
Clark P,4
Hooper C,2
MacDonald M,1
McKean ML,1
Adelman SJ,2
Iqbal O,3
Aziz S,1
Hoppensteadt DA,1
Ahmad S,1
Walenga JM,2
Bakhos M,1
Fareed J,9
Bertina RM,77
Vandendriessche TC,1
Cupp MS,1
Zhang D,6
Cupp EW,1
Shah SR,2
Gupta AD,3
Sharma A,17
Joshi A,5
Desai D,4
Abraham P,2
Alhenc-Gelas M,2
Aiach M,2
de Moerloose P,11
Nicolaes GA,14
Dahlbäck B,31
Jureczko L,2
Kołacz M,2
Trzebicki J,2
Szyszko G,2
Pacholczyk M,2
Łagiewska B,2
Chmura A,2
Rowiński W,1
Mayzner-Zawadzka E,2
Woessner R,2
Grauer MT,6
Dieterich HJ,2
Bepperling F,3
Baus D,2
Kahles T,1
Georgi S,1
Bianchi O,1
Morgenthaler M,1
Treib J,8
Sasanakul W,11
Chuansumrit A,38
Ajjimakorn S,1
Krasaesub S,2
Sirachainan N,10
Chotsupakarn S,1
Kadegasem P,3
Rurgkhum S,3
Gold J,1
Golubkov V,2
Hawes D,1
Markland FS,2
Schneider EM,1
Lorenz I,1
Ma X,3
Weiss M,2
Herzog RW,88
Arruda VR,69
Aditya GS,1
Santosh V,1
Yasha TC,1
Shankar SK,1
Kulkarni KR,1
Jambhekar NA,1
McKenzie J,1
Jaap AJ,1
Gallacher S,1
Kelly A,3
Crawford L,2
Greer IA,6
Rumley A,24
Petrie JR,1
Lowe GD,58
Paterson K,1
Sattar N,5
Insabato L,2
Di Vizio D,1
Terracciano LM,1
Pettinato G,5
Ingeholm P,1
Pedersen L,2
Holck S,1
Mohanty D,30
Colah RB,2
Gorakshakar AC,2
Nadkarni AH,2
Phanasgaonkar SP,2
Shetty S,49
Ghosh K,57
Mukherjee MB,1
Hazar B,1
Paydas S,1
Zorludemir S,1
Sahin B,2
Tuncer I,1
de la Fouchardière C,1
Flechon A,1
Droz JP,1
Pinto FC,1
Porro FF,1
Suganuma L,1
Fontes RB,1
de Andrade AF,1
Marino R Jr,1
Ali R,1
Ozçelik T,1
Ozkalemkas F,1
Ozkocaman V,1
Ozan U,1
Yalçin M,1
Saricaoğlu H,1
Tunali A,1
Ashrani AA,4
Osip J,2
Christie B,3
Key NS,41
Acquila M,16
